"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"39",6,5,4,2,4,3,1,5,3,1,1,4,5,6,3,5,2,5,3,5,6,5,2,4,1,6,1,5,2,4,5
"40",5,6,4,1,6,1,5,2,4,4,6,3,5,5,5,1,4,5,6,2,5,4,1,2,5,6,3,2,3,3,2
"41",6,6,5,5,3,3,5,6,5,3,3,6,2,1,2,2,1,1,6,2,3,5,3,1,3,3,2,3,5,1,4
"42",4,5,2,4,5,6,6,5,2,1,5,5,1,4,4,1,1,4,1,6,5,5,4,5,4,2,4,1,4,2,5
"43",1,2,4,3,1,3,5,4,5,4,4,5,6,6,5,3,6,3,2,4,6,6,6,2,6,4,6,2,5,1,4
"44",3,3,3,6,5,1,3,4,2,2,2,3,6,1,1,3,1,5,5,4,4,6,1,4,2,1,2,1,3,6,2
"45",2,4,2,3,2,5,3,4,4,1,6,1,1,3,1,2,5,6,5,5,2,2,1,3,5,1,5,4,6,4,2
"46",4,1,4,4,5,3,5,1,6,3,1,1,1,3,3,4,2,5,6,6,5,1,3,6,4,4,4,6,5,5,1
"47",1,2,3,5,3,2,1,3,3,4,3,2,3,1,6,1,4,5,2,1,2,2,5,6,4,2,1,1,6,5,3
"48",4,4,4,5,6,2,5,3,3,6,3,4,3,6,1,4,5,1,3,1,2,6,1,5,4,1,5,6,5,1,5
"49",5,1,2,1,1,2,4,2,2,3,5,4,5,4,1,4,3,2,6,5,3,6,6,6,2,5,3,5,6,2,3
"50",1,4,5,2,4,6,6,1,2,1,3,2,5,1,5,5,4,1,5,2,4,1,4,4,1,4,4,4,6,2,2
"51",2,2,5,3,2,1,1,5,2,1,3,6,2,4,6,2,4,4,2,5,1,4,3,3,3,6,6,6,3,2,1
"52",6,3,6,6,3,6,5,6,3,6,6,1,2,6,3,1,6,5,5,3,4,3,6,3,2,4,4,5,4,4,5
"53",3,5,1,2,2,4,6,4,4,6,1,6,3,6,1,1,4,5,6,3,6,2,4,6,3,6,2,3,3,2,3
"54",2,6,1,4,3,3,2,1,4,2,5,2,2,5,4,4,6,2,3,1,5,4,2,2,1,3,2,2,6,6,6
"55",3,4,3,1,3,4,4,3,6,2,2,3,5,5,2,1,1,5,1,2,2,5,4,4,6,6,4,6,6,6,6
"56",2,6,2,5,5,4,1,2,1,5,6,3,6,4,3,5,5,6,2,4,5,5,4,5,2,4,5,6,1,2,3
"57",2,5,3,1,2,5,3,5,2,4,5,1,5,6,4,3,2,1,4,1,1,1,6,3,4,1,1,2,3,2,4
"58",5,5,5,5,1,1,3,5,6,4,3,2,1,5,2,5,3,4,5,2,2,5,4,6,6,5,5,1,1,4,3
"59",6,3,1,4,2,3,2,6,1,2,2,3,6,5,3,6,5,3,6,3,1,2,4,5,6,3,2,4,4,1,1
"60",3,3,6,5,1,2,4,2,3,1,4,6,4,4,2,6,2,6,1,1,6,1,2,2,2,5,2,4,4,5,3
